复兴村合作住宅小区|97735788元/㎡|江汉|常码头|振兴路15号
碧海花园(别墅)独栋带350花园有钥匙|22131元/㎡|东西湖|金银湖|金银湖北街
碧海花园独栋别墅，挑高客厅，大院子。|22131元/㎡|东西湖|金银湖|金银湖北街
卓刀泉 城投瀚城别墅 4室2厅3卫 南北通透 毛坯 位置安静|31708元/㎡|洪山|卓刀泉|雄楚大道450号
华发外滩 二七滨江上长椿街七一次新小区 业主诚心急售|33158元/㎡|江岸|二七路|永泰路
远洋庄园新出精装独栋 品质装修保养很好 全屋品质家居全部赠送|27594元/㎡|江夏|庙山|阳光大道10号
中国院子半山独栋院子500平 位置好   地势高   带厢房|19564元/㎡|黄陂|盘龙城|盘龙大道特8号
滨江大平层瞰江视野好，采光好，楼层好|32366元/㎡|武昌|徐家棚|和平大道
F天下独栋别墅 精装修带地下室 别墅的天花板 真正的拎包入住|32906元/㎡|黄陂|盘龙城|巨龙大道196号
一线临湖大独栋，观湖效果非常好，毛坯现房，值得收藏！|19731元/㎡|沌口开发区|天鹅湖大道|博艺路
华侨城二期352平大平层，单价2万出差，老证税少，随时看房|22128元/㎡|洪山|欢乐谷|欢乐大道166号
鼎豪聚集万达御湖壹号 220平通透大四房含家具家电车位 全新|35544元/㎡|武昌|中北路|楚汉路3号
纳帕溪谷 路边独栋 采光好 南北通透  随时看房|26338元/㎡|江夏|藏龙岛|栗庙路9号
联投中心现房 精装集中供暖 一线江景价格比新房价格低|36768元/㎡|武昌|积玉桥|临江大道188号
光谷一路光谷第八  旁文华学院对面融创桃花源别墅出售|40469元/㎡|洪山|珞瑜东路|光谷一路9号
光谷东 香港置地高端改善楼盘，现推出特价房，精装交付 现房|33022元/㎡|江夏|东湖高新|高科园路武汉光谷(国际)外国语学校东南侧约180米
价格可谈 复地东湖国际一二期 精装修 拎包入住 预约看房|49739元/㎡|武昌|中北路|兴泸路12号
江景天花板  武昌滨江中心 送车位|32628元/㎡|武昌|徐家棚|和平大道750号
一线看江无遮挡 绿地海珀滨江，中高层 诚心出售随时看房|32956元/㎡|武昌|徐家棚|和平大道750号
F天下独栋 700平大花园 临主干道|25179元/㎡|黄陂|盘龙城|巨龙大道196号
新天地成熟商圈166平大3房850出售|46358元/㎡|江岸|永清街|永安路6号
武汉天地御江苑 带电梯 临地铁 商品住宅 精装修 双卫格局|46803元/㎡|江岸|永清街|永安路6号
万科御玺滨江 178平 高档装修 高楼层 南北通透|43203元/㎡|江岸|二七路|解放大道1568号
急售！驿山高尔夫联排中间户 上下四层证满二无贷有钥匙可看房|32507元/㎡|洪山|光谷东|高新大道789号
汉街skp旁 内环景观大平层 清盘特惠 单价3万含5千精装|38020元/㎡|武昌|水果湖|公正路29号
L型大花园300平古装和现代风结合301平可以做五房满二年|25434元/㎡|江夏|藏龙岛|栗庙路9号
徐东内环超高得房率 225平大平层 看湖看江 开发商特惠|34000元/㎡|武昌|徐东|友谊大道401号（阿里华中总部旁）
汤逊湖山庄（独栋别墅）带大露台和车库花园，随时看房|29980元/㎡|江夏|文化大道|华泰路
世纪江尚 高楼层无遮挡quan江景 业主自住好房子|40843元/㎡|江汉|前进/江汉|花楼街122号
好赞好房！狂降200萬！前庭后院带200平大花园地下室！|27119元/㎡|洪山|珞瑜东路|光谷创业街101号
华发外滩 交通便利 双卫 临地铁 次新房 车位充足 动静分离|45236元/㎡|江岸|二七路|永泰路
F天下新出独栋，占地705平临水系，两层结构客厅6 挑高|18800元/㎡|黄陂|盘龙城|巨龙大道196号
F天下独栋别墅 会所旁 主干道边 花园占地800平 前低后高|23125元/㎡|黄陂|盘龙城|巨龙大道196号
急售 急售 急售  保利十二橡树三层独栋  全明地下室|23249元/㎡|江夏|银河湾|汤逊湖北路560号
金地圣爱 伦(别墅) 医疗配套成熟 高绿化 商品房 楼层好|24992元/㎡|洪山|新南湖|南李路27号
复地四期 高层 南北通透三居 满五   税费少 随时可看|41304元/㎡|武昌|中北路|中北路147号
武汉天地云廷(二期) 次新小区 满二 双卫 高楼层视野无遮挡|57598元/㎡|江岸|永清街|兴瑞街6号
武昌湾 滨水新天地 司门口商圈一城精粹 黄鹤楼畔 来电钜惠|35024元/㎡|武昌|紫阳路|张之洞路与临江大道交汇处
汉阳滨江一线看江，全屋品牌家具家电，拎包入住|38830元/㎡|汉阳|钟家村|滨江大道188-附8号
万达御湖壹号近地铁 出行方便 中间楼层 带电梯|34541元/㎡|武昌|中北路|楚汉路3号
外小对面，房间多二胎三胎家庭，近地铁，送车位，送花园菜园。|25267元/㎡|沌口开发区|金色港湾|东风大道68号
台北路万科新盘 10年焕新大作 独体独户 塔尖资源配置|31984元/㎡|江岸|台北香港路|高雄路86号
武汉豪宅天花板 一线长江 二七滨江板块 风雨连廊 精致绿化|58985元/㎡|江岸|永清街|二七沿江商务区南片（中山大道与韦桑路交汇处）
墨水湖畔 湖景联排别墅 上下4层 带车位送200平花园|44611元/㎡|汉阳|七里庙|麒麟路1号
8号地铁口 临湖独栋别墅 300平的花园共4层套现急售|36586元/㎡|洪山|珞狮南路|野芷湖西路
复地东湖国际四期 产权清晰 小区新 南北通透 中间楼层采光好|37807元/㎡|武昌|中北路|中北路147号
新 东湖高新旁 临湖别墅 精装修 纳帕溪谷 光谷复地拎包入住|25906元/㎡|江夏|藏龙岛|栗庙路9号
武汉天地四期花园洋房 通透大三房 老证税费低 诚意出售|52896元/㎡|江岸|永清街|永和路6号
武昌滨江商务区，正面看江，降价急售|31696元/㎡|武昌|徐东|和平大道
武昌滨江月亮湾品质大平层转角阳台看江景楼层好|31780元/㎡|武昌|徐东|和平大道
必看好房！70年独栋别墅，全新豪装，带地下车库和大院子！|21127元/㎡|沌口开发区|天鹅湖大道|大沌线
万科高尔夫一线临湖精装别墅，美景，靓房，随时看房|25419元/㎡|东西湖|金银湖|金山大道187号
墨水湖畔 联排别墅 上下5层 拓展面积500平 送花园车位|29706元/㎡|汉阳|四新|文选路
金地澜菲溪岸J5地块(合院别墅) 老证税少 前后花园 诚售|28807元/㎡|汉阳|四新|芳草五街,近芳草六街
武汉天地四期   房源 单价  的一套诚心出售 随时看房|48601元/㎡|江岸|永清街|永祥路6号
御湖世家 前排无遮挡看湖 产证满二 一直没有住人 随时看房|29762元/㎡|武昌|中北路|楚汉路1号
墨水湖畔 招商联排别墅 拓展面积500平共5层 露台花园车位|29706元/㎡|汉阳|四新|文选路
汇博苑5室2厅4卫，337平，华科隔壁，视野很好|22322元/㎡|洪山|关山|喻家湖路5号
武汉天地御江苑 有电梯 临地铁 精装修 朝向好 近医院|47668元/㎡|江岸|永清街|永安路6号
八号线地铁口文昌路站大华二期联排别墅带大露台院子精装拎包入住|42242元/㎡|洪山|珞狮南路|文馨街150号
武汉天地四期 有平层送露台出售|60000元/㎡|江岸|永清街|永泰路6号
帝斯曼国际中心 近地铁 带电梯 楼龄新 精装好房 停车方便|49775元/㎡|武昌|武昌火车站|武珞路421号
4加1户型 看湖 小区中心位置 非常诚心卖|34679元/㎡|武昌|中北路|公正路
融创壹号院南北通透四房中高楼层满2年精装修业主急售看房方便|39089元/㎡|武昌|中北路|公正路
纳帕溪谷 南北通透 精装修 房龄新 带电梯 正规商品房|36391元/㎡|江夏|藏龙岛|栗庙路9号
纳帕溪谷 大花园双拼别墅  全明地下室  随时看房|27722元/㎡|江夏|藏龙岛|栗庙路9号
三期半山独栋别墅 750万 大花园|30611元/㎡|黄陂|盘龙城|巨龙大道196号（地铁2号线巨龙大道D出口旁100米）
武汉天地盛荟 高层江景3房 视野开阔 有车位 急售|49970元/㎡|江岸|二七路|永和路8号
精装修居家装修 满二年 业主诚心出售 武汉天地御江苑|52403元/㎡|江岸|永清街|永安路6号
车位充足 次新小区 双卫生间 出行方便 精装好房 近地铁|41747元/㎡|武昌|徐东|和平大道
朝南 万达御湖壹号保养好219平 楼层好|33592元/㎡|武昌|中北路|楚汉路3号
一线临湖抄低扴 近SKP 楚河汉街 万达御湖世家 南北通透|29426元/㎡|武昌|中北路|楚汉路1号
品质住宅武昌核心地段特价2XXXX|30000元/㎡|武昌|徐东|友谊大道401号（阿里华中总部旁）
江岸区沿江片 三阳路核心 新房准现房 毛坯3.3精装3.6|46988元/㎡|江岸|三阳路|胜利街与五福路交汇处
复地东湖国际五期 通透大五房 保养极好|47173元/㎡|武昌|中北路|中北路
武昌万象城月亮湾高区看江大平层四房随时看房|30933元/㎡|武昌|徐东|和平大道
CBD西北湖 华发中城荟184.74平 老证  四房二厅三卫|39515元/㎡|江汉|王家墩CBD|淮海路8号
二七滨江上长春街和七一次新小区 环境优美 业主诚心出售。|43419元/㎡|江岸|二七路|永泰路
精装大平层次新房南北通透中间楼层采光好老证无遮挡红领巾|33121元/㎡|江汉|王家墩CBD|嘉陵江路1号
F天下美景园X9平层户型  边户占地550|28798元/㎡|黄陂|盘龙城|巨龙大道196号
华发外滩   电梯房 交通便捷 精装好房 高楼层采光充足|45901元/㎡|江岸|二七路|永泰路
武汉名片 豪宅典范 上长春街七一本部 业主诚心出售 价格可谈|49586元/㎡|江岸|二七路|永和路8号
复地东湖国际四期 精装修 拎包入住 预约看房|36748元/㎡|武昌|中北路|中北路147号
华发外滩   产权清晰 次新小区 临地铁 交通便捷|42210元/㎡|江岸|二七路|永泰路
纳帕溪谷19年交付  庭院独栋别墅 三面花园 采光无遮挡|31154元/㎡|江夏|藏龙岛|栗庙路9号
汉街壹号公馆(一组团) 装修豪华保养好 有电梯 交通便捷|30384元/㎡|武昌|中北路|中北路238号
武昌二环 三轨交汇 揽江瞰湖 浓荫繁萃毛坯大平层城投国樾滨江|33814元/㎡|武昌|徐东|临江大道与徐美西路交汇处（长江二桥内环侧）
此房证已满五年，前后双阳台，高层看江均无遮挡|39273元/㎡|武昌|积玉桥|中山路99号
复地东湖国际四期 198平通透大四房 出售意愿强烈价格空间大|36189元/㎡|武昌|中北路|中北路147号
泛海国际居住区 碧海园 精装大平层 送车位 高层诚心出售！|27460元/㎡|江汉|王家墩CBD|商务东路88号
东湖边精装大平层 复地东湖国际四期 中间楼层 拎包入住|35753元/㎡|武昌|中北路|中北路147号
武汉天地四期141平前后院子 精装全明 太阳采光好 老证急售|49969元/㎡|江岸|永清街|永泰路6号
武汉天地盛荟 车位充足 有电梯 近地铁 小区新 双卫生间|43849元/㎡|江岸|二七路|永和路8号
观山海,半山位置,挂边独栋,南北朝向大花园,看房方便|17228元/㎡|黄陂|盘龙城|盘龙大道特8号
急售 复地东湖国际7期 171平南北通透4房2厅 毛坯|35021元/㎡|武昌|中北路|兴国路7号
经开主城区，精装大别墅，70年产权，D铁口，业主急售！|16667元/㎡|沌口开发区|金色港湾|东风大道68号
积玉桥地铁口  华润凤凰城一楼带100平 院子|31579元/㎡|武昌|积玉桥|和平大道18号
外校门口独栋别墅 自住装修 带大花园 看中可谈|29961元/㎡|江夏|庙山|江夏大道51号
复地东湖国际双地铁 奢华大平层近二百平 价格美丽 环境优美|36364元/㎡|武昌|中北路|中北路147号
复地东湖国际四期 198平 4室2厅|36294元/㎡|武昌|中北路|中北路147号
创业农庄 三亩私家花园 独栋别墅 70年产权 诚售|24854元/㎡|江夏|庙山|江夏大道34号
绿城品质 豪宅典范   物业 上长春街七一 业主诚心出售|47940元/㎡|江岸|二七路|中山大道
碧桂园晴川府 大露台 精装 四室 汉阳钟家村|30923元/㎡|汉阳|钟家村|滨江大道188-附8号
万科红郡(别墅) 满五 精装好房 正规商品房 临地铁|40924元/㎡|洪山|光谷软件园|武大园路1号
华发外滩   单价3    带露台阳光好无遮挡 一梯一户|38714元/㎡|江岸|二七路|永泰路
万达御湖壹号 送超大楼台 已搭建好 全屋从新改造 价格谈|32433元/㎡|武昌|中北路|楚汉路3号
F天下占地860平的独栋 仅售720万 证满 临主路|21764元/㎡|黄陂|盘龙城|巨龙大道196号
一线江景 天地二期精装3房有暖气长春街七一，老证无贷 诚心出|44500元/㎡|江岸|永清街|永安路6号
壹号院北区性价比  的全湖景楼层 业主急售 满二无贷款|32766元/㎡|武昌|中北路|公正路
降价啦降价啦，碧桂园生态城叠翠台别墅，欢迎实地看房啦|20393元/㎡|洪山|光谷东|花城大道2号
华发外滩   停车方便 次新房 出行方便 得房好 近医院|42438元/㎡|江岸|二七路|永泰路
街道口 天幕大平层 理工大旁 双轨交汇 奢装交付 国庆特惠来|32728元/㎡|洪山|街道口|石牌岭路东一路（武商梦时代南1KM）
二七滨江商务区 两梯两户 南北通透 毛坯 有钥匙随时看房|37439元/㎡|江岸|百步亭|中山大道2359号
8号地铁 全湖景 保利心语双拼别墅共4层精装修换置急售|27462元/㎡|洪山|新南湖|野芷湖西路
金沙泊岸 出行方便 近地铁 购物方便 高楼层视野无遮挡|32120元/㎡|武昌|徐东|秦园东路
二七滨江金融城 毛坯四房三卫 徐州新村站 老证 江景房|36578元/㎡|江岸|百步亭|中山大道2359号
万达御湖壹号 房龄新 有电梯 医疗配套成熟 交通便利 装修好|32240元/㎡|武昌|中北路|楚汉路3号
绿地海珀御观 医疗配套成熟 次新小区 商业配套成熟 有电梯|30388元/㎡|武昌|徐家棚|和平大道750号
中信泰富精装修三房  次新房|51098元/㎡|江岸|二七路|中山大道
汉街SKP对面 武汉壹号院全新未住 还送车位 一览沙湖无遮挡|32311元/㎡|武昌|中北路|公正路
万达公馆3室2厅4卫|25107元/㎡|武昌|积玉桥|和平大道209号
中国院子半山旁独栋别墅 前庭后院花园大 随时看房|25976元/㎡|黄陂|盘龙城|盘龙大道特8号
11号线地铁旁 中粮光谷祥云品质下叠 200平方挂边院子|43192元/㎡|洪山|光谷东|光谷三路
原岸 超大落地窗 全湖景 大视野 2 大理石地砖 诚心卖|30629元/㎡|洪山|欢乐谷|欢乐大道228号
万达御湖世家 258方正豪装四房 南北阳台惬意看湖 汉街沙湖|27225元/㎡|武昌|中北路|楚汉路1号
泷悦华府(别墅)~中层~小区安静舒适~明厨~明卫~南北户型|34413元/㎡|洪山|光谷广场|高新大道219号
武汉城建明镜台 中叠送电梯送地下室 负公摊 买两层送一层|36911元/㎡|汉阳|钟家村|龙江路与冰糖角路交汇处
复地东湖国际三期 精装修 拎包入住 预约看房|50047元/㎡|武昌|中北路|中北路118号
海珀 滨江  高层看江大平层  一线亲江50   纯毛坯|29692元/㎡|武昌|徐家棚|和平大道750号
墨水湖临湖墅 五层送双车位 带前后院子 欢迎品鉴|41667元/㎡|汉阳|七里庙|麒麟路1号
占地200平独栋别墅 证满二 业主诚心卖，看房方便|20798元/㎡|江夏|庙山|江夏大道34号
佳源花都9室6厅6卫|21224元/㎡|江夏|金融港|高新二路128号
纯水岸东湖三期 前排一线临湖 通透大四房 中间楼层一线瞰湖|29817元/㎡|洪山|欢乐谷|欢乐大道180号
当年抢的头破血流塞查水的户型 凤凰层有两个车位 西边户|30118元/㎡|洪山|欢乐谷|欢乐大道180号
万科高尔夫城市花园一线湖景别墅急售随时看房|23729元/㎡|东西湖|金银湖|金山大道187号
碧海花园(别墅)276.55平 院子375平 急售|25312元/㎡|东西湖|金银湖|金银湖北街
华侨城一期  无遮挡湖景房！超大湖景阳台，老证，无抵押无欠款|30363元/㎡|洪山|欢乐谷|欢乐大道166号
华侨城一期T18栋  全湖景房，有钥匙随时看，老证满二税费少|30304元/㎡|洪山|欢乐谷|欢乐大道166号
一线湖景 电梯双拼别墅 200平花园 阳光100大湖第|21398元/㎡|江夏|藏龙岛|杨桥湖大道2号
急售！阳光100 一线临湖 观景大露台 有电梯 双拼别墅|21398元/㎡|江夏|藏龙岛|杨桥湖大道2号
华侨城原岸T7正  ，无遮挡全湖景，大平层老证税少，有钥匙看|27690元/㎡|洪山|欢乐谷|欢乐大道228号
武昌滨江联投中心精装大平层可看江随时看房|33099元/㎡|武昌|积玉桥|临江大道188号
私家露台一方小院 奢华精装温馨小家 华发外滩|52189元/㎡|江岸|二七路|永泰路
万达御湖世家 精装修 商品房 南北通透 房龄新 出行方便|27032元/㎡|武昌|中北路|楚汉路1号
必看好房 一线国际品牌 豪装 南北通透采光好 满五|40857元/㎡|武昌|中北路|兴国路7号
万达御湖世家南北通透大平层，前排一线临湖无遮挡，业主急售！|28138元/㎡|武昌|中北路|楚汉路1号
F天下 三期独栋 精装修 老证 诚心出售|30702元/㎡|黄陂|盘龙城|巨龙大道196号
F天下 出行方便 商业配套齐全 环境优美 70年产权|21299元/㎡|黄陂|盘龙城|巨龙大道196号
F天下三期美景园 X9户型 正南朝向 花园占地580平|27615元/㎡|黄陂|盘龙城|巨龙大道196号
华侨城二期T35栋  湖景大平层，满二税少，无遮挡随时看房|28226元/㎡|洪山|欢乐谷|欢乐大道166号
华侨城247平一线湖景赠送半装修 天然生态资源|28380元/㎡|洪山|欢乐谷|欢乐大道166号
武昌内环滨江 四房毛坯  房东诚意出售|29873元/㎡|武昌|徐家棚|和平大道750号
武汉长江中心徐家棚地铁口四房户型全景中心花园低总价|40612元/㎡|武昌|徐家棚|临江大道
华发外滩   临地铁 近医院 交通便利 楼层好 停车方便|39371元/㎡|江岸|二七路|永泰路
复地东湖国际(一二期) 单价低 南北通透 近地铁 邻湖好风景|27678元/㎡|武昌|中北路|兴泸路12号
原岸电梯入户自住精装 亏近200个急售 价格还可以谈 送车位|27256元/㎡|洪山|欢乐谷|欢乐大道228号
水岸星城叠墅，小区位置好，出行生活方便，价格可以沟通|32503元/㎡|武昌|徐东|徐东二路2号
中建汤逊湖壹号别墅 毛坯 业主水电走了 满二了 诚心卖|32273元/㎡|江夏|文化大道|环湖路
光谷东 光谷创新天地 顶楼整层大平层户型 业主诚意出售 可谈|24118元/㎡|江夏|东湖高新|光谷六路
华发外滩   商品住宅 车位充足 交通便利 次新小区|44004元/㎡|江岸|二七路|永泰路
城投光谷香恋别墅274平600万毛坯|25530元/㎡|江夏|银河湾|橡树路1号（枫叶国际学校旁）
野芷湖畔，把头双拼别墅，带L转角三百平花园！带全明地下室！|26062元/㎡|洪山|珞狮南路|野芷湖西路
一线看湖 有毛坯 满五  税费低 次新房 近地铁|40732元/㎡|武昌|中北路|兴国路7号
融创中心武汉壹号院4室2厅3卫|36951元/㎡|武昌|中北路|公正路
F天下新出独栋 带地下室 680平大花园 698万老证|23069元/㎡|黄陂|盘龙城|巨龙大道196号
F天下三期美景园 挂边独栋 三面临路 带地下室 证满|27536元/㎡|黄陂|盘龙城|巨龙大道196号
全明户型经典复式、双南阳台、高楼层临湖看景，房珞东直卖随时看房|28747元/㎡|洪山|瑜东路|喻家湖东路
江汉大区每日必卖 复星外滩中心 武汉之心两江汇内环内购物中|35980元/㎡|硚口|汉正街|友谊南路与汉正街交汇处
必看好房 此房精装修领包入住，小高层，老证税少，公摊低|48917元/㎡|江岸|永清街|永祥路6号
（汉阳天花板）你敢出价我就卖 复式看江真的太惬意了！ 全新房|24816元/㎡|汉阳|钟家村|归元寺南路1号
武昌核心地铁口现房，特价32000可以看湖|37979元/㎡|武昌|水果湖|中北路与兴国南路交汇处
碧桂园天玺湾(别墅)6室3厅3卫送花园送地下室房东直卖送花园|21173元/㎡|江夏|庙山|明泽街
靠商业街 接送小孩方便老证满两年 武汉天地御江苑|52111元/㎡|江岸|永清街|永安路6号
万科高尔夫城市花园一线湖景别墅急售随时看房|23371元/㎡|东西湖|金银湖|金山大道187号
近地铁 出行方便 近医院 电梯房 小区新 南北通透|27289元/㎡|洪山|街道口|文荟路78号
汉街万达御湖壹号南北通透四房户型未住人|35478元/㎡|武昌|中北路|楚汉路3号
复地东湖国际(七八期) 中间好楼层 近医院 临地铁 精装修|40351元/㎡|武昌|中北路|兴国路7号
江岸核心地段 南北通透户型华发外滩|48833元/㎡|江岸|二七路|永泰路
急售轻钢龙骨结构纳帕溪谷美式精装合院上下三层300平大院子|22874元/㎡|江夏|藏龙岛|栗庙路9号
江汉路世纪江尚带300平露台 豪华装修 采光好保养好拎包入住|34008元/㎡|江汉|前进/江汉|花楼街122号
怡景花园(江岸)3室2厅2卫长椿街小xue江景房
两证满五|39136元/㎡|江岸|永清街|芦沟桥路特1号
武昌区梦时代商圈旁龙湖天玺大平层石牌岭次新房看房方便|37596元/㎡|武昌|丁字桥|石牌岭路
改善型客户可以下手了！汉口内环核心地段第四代住宅全新打造品质|35000元/㎡|江汉|王家墩CBD|云飞路梦泽湖公园南侧（辅仁小学CBD校区旁)
中信泰富滨江金融城九悦 清水毛坯四房 出行方便 医疗配套成熟|35959元/㎡|江岸|百步亭|中山大道2359号
御湖壹号 高楼层 观湖效果 视野开阔 保养好 急售|31348元/㎡|武昌|中北路|楚汉路3号
泛悦城精装大4房，1梯1户小高层 公摊小，可以谈，急售随时看|35366元/㎡|洪山|关山|关山大道
二七路 电梯房 医疗配套成熟 双卫格局 精装好房 交通便利|40349元/㎡|江岸|二七路|永泰路
精装好房 临地铁 商业配套齐全 正规商品房 满二 朝向好|34976元/㎡|江岸|永清街|解放大道1340号
滨江苑三期超大阳台户型  尚长椿街    此证满二|33301元/㎡|江岸|二七路|头道街8号
南湖福地 精装修顶楼复式洋房 一梯两户 环境优雅金地圣爱 伦|32851元/㎡|洪山|新南湖|南李路27号
一线临湖 水岸星城 复式楼 视野开阔 毛坯房 看房方便价好谈|24385元/㎡|武昌|徐东|徐东二路2号
纳帕溪谷个人别墅诚售 超大花园 精装修 拎包入住 送车位|24653元/㎡|江夏|藏龙岛|栗庙路9号
业主在北京美式合院别墅采光  L型大花园满二年随时可以看|24383元/㎡|江夏|藏龙岛|栗庙路9号
世纪江尚8栋 超高层江景房|35820元/㎡|江汉|前进/江汉|花楼街122号
光谷澎湃城奥山府(别墅) 顶天立地上下五层 使用面积600平|23811元/㎡|洪山|光谷东|佛祖岭东街2号
世茂龙湾独栋别墅，1300平 花园庄园 随时看房|19429元/㎡|沌口开发区|天鹅湖大道|知音湖大道
珑璟轩合院别墅精装6室2厅3卫，带地下室及私人双车位，拎包住|33171元/㎡|黄陂|盘龙城|巨龙大道217号
白云黄河之处 电梯入户一线湖景 精装修从未住过 随时看房|28817元/㎡|洪山|欢乐谷|欢乐大道166号
二七滨江小高层带100平露台！出门长春街三小七一华源|53184元/㎡|江岸|百步亭|中山大道2359号
大横厅 正面江景 低密品质小区 诚心卖|32197元/㎡|武昌|积玉桥|临江大道188号
443平湖景双拼别墅 三层送地下室 独立车库 花园|15339元/㎡|江夏|庙山|明泽路6号
联投中心 精装现房 看江户型  大横厅设计  急售|32137元/㎡|武昌|积玉桥|临江大道188号
华发外滩    有采光无遮挡 业主诚心出售 上长春街七一华源|39444元/㎡|江岸|二七路|永泰路
装修保养好 基本很少住 楼层好 视野可以看湖|21705元/㎡|江夏|庙山|民族大道
汉街 万达御湖壹号 品质豪奢华大平层四房 专梯 独立保姆梯|30870元/㎡|武昌|中北路|楚汉路3号
复地东湖国际(七八期) 中间好楼层 楼龄新 商品房 出行方便|39690元/㎡|武昌|中北路|兴国路7号
中南医院地铁口 复地东湖国际七期 通透四房 随时看房|36200元/㎡|武昌|中北路|兴国路7号
江景大厦6室3厅3卫|15026元/㎡|江岸|三阳路|沿江大道227-228号
二七滨江华发外滩  性价比超高江景房  正规四房 老证|40438元/㎡|江岸|二七路|永泰路
华发外滩   近医院 临地铁 有电梯 停车方便 产权清晰|40438元/㎡|江岸|二七路|永泰路
华发外滩拎包入住三房出售  后期费用低  值得拥有|48385元/㎡|江岸|二七路|永泰路
华发外滩   正南向 日照充足 满二 电梯入户|39699元/㎡|江岸|二七路|永泰路
复地东湖国际五六期 精装修 拎包入住 5室2厅|42973元/㎡|武昌|中北路|中北路
复地东湖国际八期 豪华装修 楼层好 南北通透 证满2年|46512元/㎡|武昌|中北路|兴国路7号
必看好房推荐 次新房 精装未入住 诚心出售  近地铁|37822元/㎡|武昌|中北路|兴国路7号
美院C AST的独栋别墅精装修带花园和车位|19854元/㎡|江夏|庙山|江夏大道51号
豪装三房老证出售，采光及好，性价比高|48385元/㎡|江岸|二七路|永泰路
沙湖旁万达御湖世家 4房2厅3卫  豪华精装  拎包入住急售|37326元/㎡|武昌|中北路|楚汉路1号
经开区一线临湖大别墅70年产权双拼别墅|24563元/㎡|沌口开发区|郭徐岭广场|车城西路
华润悦府  超大平层 一层一户 全景观江     户型|16734元/㎡|汉阳|五里墩|琴台大道388号
武汉天地御江璟城B13 有电梯 南向采光好 满二 产权清晰|48152元/㎡|江岸|永清街|永泰路6号
双卫生间 交通便利 高楼层视野无遮挡 医疗配套成熟 近地铁|48071元/㎡|江岸|永清街|永泰路6号
盘龙湾徽派联排别墅 朝南 前庭后院中天井 全新装修 诚心出售|19877元/㎡|黄陂|盘龙城|盘龙大道48号
纳帕溪谷  毛坯大花园独栋 南北通透  产权清晰|24549元/㎡|江夏|藏龙岛|栗庙路9号
这才是真正临湖别墅，600平院子延伸至湖边，带私家码头!|33978元/㎡|沌口开发区|天鹅湖大道|天鹅湖大道6-9号
双地铁口 万达旁 湖景花园别墅 上下5层带电梯 花园 车库|29555元/㎡|沌口开发区|江汉大学|芳草二路
一线临湖别墅，70年品质楼盘，实得面积大，随时可看房|48227元/㎡|沌口开发区|金色港湾|武汉外校旁·东风大道经开万达对面（3号线三角湖地铁站约300米）
中国院子 独栋 占地550平 户型改造完成 平层三层户型|27332元/㎡|黄陂|盘龙城|盘龙大道特8号
武汉天地御江苑 双卫格局 精装好房 满二 近医院 交通便利|48295元/㎡|江岸|永清街|永安路6号
一线观湖现房出售 180度观景 落地窗户精装修  即住|25038元/㎡|洪山|光谷东|顶冠峰路与九峰一路交叉路口往东南约80米
独栋 492平 豪装 四层带地下室 独立车库 阳光100别墅|13616元/㎡|江夏|藏龙岛|杨桥湖大道2号
正南朝向 中间楼层采光好 商业配套成熟 双卫格局 次新房|40214元/㎡|武昌|徐家棚|临江大道
徐家棚 近医院 商圈成熟 带电梯 临地铁 次新房 南向采光好|39974元/㎡|武昌|徐家棚|临江大道
武昌滨江，华润长江中心，商业配套齐全 横厅4房 诚售|39881元/㎡|武昌|徐家棚|临江大道
电梯花园洋房，带80平地下室 11平方露台带车位  南北通透|39624元/㎡|武昌|中北路|兴泸路12号
长江中心 171平 四居室  横厅结构  高楼层 视野好|39038元/㎡|武昌|徐家棚|临江大道
长江中心 滨江核心 客厅双面采光 看江面广 随时看房|39081元/㎡|武昌|徐家棚|临江大道
万象城长江中心高区看江四房随时看房|39081元/㎡|武昌|徐家棚|临江大道
华侨城原岸  栋中楼层跑步阳台一线湖景 电梯入户 满二带车位|25778元/㎡|洪山|欢乐谷|欢乐大道228号
二七滨江商务区 长春街   七一中学 价格好谈|39371元/㎡|江岸|二七路|永泰路
二七路 停车方便 商品房 交通便利 满二 临地铁|34207元/㎡|江岸|二七路|永泰路
梦时代旁 街道口 龙湖天玺 精装四房  通透 视野开阔无遮挡|35873元/㎡|武昌|丁字桥|石牌岭路
华发中城荟精装修大四房，小区环境优美，配套，居住舒适。|36124元/㎡|江汉|王家墩CBD|淮海路8号
朝南 车位充足 双卫生间 近医院 近地铁 次新小区|38770元/㎡|江岸|二七路|永泰路
驿山高尔夫靠山下叠 满二 送花园 地下室送车位 随时看房|37435元/㎡|洪山|光谷东|高新大道789号
大横厅 双面采光 好楼层 急卖|39378元/㎡|武昌|徐家棚|临江大道
东湖边汉街旁复地三期纯毛坯 高区     纯毛坯 看房方便|40782元/㎡|武昌|中北路|中北路118号
正面  一线江景 性价比高 中间楼层|23148元/㎡|武昌|积玉桥|和平大道209号
头排 正面江景  永无遮挡|27967元/㎡|武昌|徐家棚|和平大道750号
百瑞景中央生活区(六期) 临地铁 商业配套齐全 朝南 板楼！|40888元/㎡|武昌|丁字桥|宝通寺路30号
武昌滨江月亮湾壹号 现房就急售 比开盘价低很多很多|27892元/㎡|武昌|徐东|和平大道
